feature,importance
user_success_rate,0.6222984
recent_failures,0.37181938
browser_activity_count,0.0005224187
location_success_rate,0.00042004563
time_risk,0.00037714434
failed_attempt_risk,0.00034907841
browser_time_risk,0.0003263838
ip_address,0.00031196722
time_since_last_login,0.00029935787
browser_risk,0.00029097786
device_activity_count,0.00028376034
ip_risk_score,0.00025794966
location_entropy,0.00024776912
browser,0.00023387397
device_type,0.00019953694
login_frequency,0.00019437505
month,0.0001917721
location_device_risk,0.00018437392
day_of_week,0.00016886866
location_risk,0.00016117678
device_entropy,0.00012971574
hour,0.00012888017
is_business_hours,0.0001231485
location,0.00011243122
device_risk,6.9609516e-05
location_activity_count,6.959486e-05
browser_success_rate,6.2110295e-05
user_id,5.8234727e-05
browser_entropy,5.671921e-05
device_success_rate,5.0868002e-05
user_activity_count,0.0
is_late_night,0.0
is_weekend,0.0
